iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"CRS","CARPENTER TECHNOLOGY CORP","EQUITY","Industrials","Equity","998,431,159.74","998,431,159.74","1,702,442.00","586.47","United States","NYSE","USD","1.00","USD","-","0.81","0.81"
"NVT","NVENT ELECTRIC PLC","EQUITY","Industrials","Equity","980,886,938.16","980,886,938.16","5,541,108.00","177.02","United States","NYSE","USD","1.00","USD","-","0.80","0.80"
"CW","CURTISS WRIGHT CORP","EQUITY","Industrials","Equity","977,088,923.82","977,088,923.82","1,265,774.00","771.93","United States","NYSE","USD","1.00","USD","-","0.80","0.80"
"TWLO","TWILIO INC CLASS A","EQUITY","Information Technology","Equity","968,149,345.67","968,149,345.67","5,200,351.00","186.17","United States","NYSE","USD","1.00","USD","-","0.79","0.79"
"ATI","ATI INC","EQUITY","Industrials","Equity","941,467,853.40","941,467,853.40","4,676,010.00","201.34","United States","NYSE","USD","1.00","USD","-","0.77","0.77"
"MKSI","MKS","EQUITY","Information Technology","Equity","940,473,469.36","940,473,469.36","2,314,328.00","406.37","United States","NASDAQ","USD","1.00","USD","-","0.77","0.77"
"ENTG","ENTEGRIS INC","EQUITY","Information Technology","Equity","934,114,188.33","934,114,188.33","5,225,229.00","178.77","United States","NASDAQ","USD","1.00","USD","-","0.76","0.76"
"STRL","STERLING INFRASTRUCTURE INC","EQUITY","Industrials","Equity","906,274,576.92","906,274,576.92","1,051,509.00","861.88","United States","NASDAQ","USD","1.00","USD","-","0.74","0.74"
"FTI","TECHNIPFMC PLC","EQUITY","Energy","Equity","890,286,131.77","890,286,131.77","13,660,981.00","65.17","United States","NYSE","USD","1.00","USD","-","0.73","0.73"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","EQUITY","Information Technology","Equity","879,975,790.20","879,975,790.20","2,248,220.00","391.41","United States","NASDAQ","USD","1.00","USD","-","0.72","0.72"
"WWD","WOODWARD INC","EQUITY","Industrials","Equity","878,039,715.84","878,039,715.84","2,041,573.00","430.08","United States","NASDAQ","USD","1.00","USD","-","0.72","0.72"
"ILMN","ILLUMINA INC","EQUITY","Health Care","Equity","839,464,551.60","839,464,551.60","5,184,120.00","161.93","United States","NASDAQ","USD","1.00","USD","-","0.68","0.68"
"P","EVERPURE INC CLASS A","EQUITY","Information Technology","Equity","806,664,369.06","806,664,369.06","10,811,746.00","74.61","United States","NYSE","USD","1.00","USD","-","0.66","0.66"
"XPO","XPO INC","EQUITY","Industrials","Equity","802,567,752.00","802,567,752.00","4,022,896.00","199.50","United States","NYSE","USD","1.00","USD","-","0.65","0.65"
"MTZ","MASTEC INC","EQUITY","Industrials","Equity","801,518,829.34","801,518,829.34","2,111,149.00","379.66","United States","NYSE","USD","1.00","USD","-","0.65","0.65"
"UTHR","UNITED THERAPEUTICS CORP","EQUITY","Health Care","Equity","780,388,593.32","780,388,593.32","1,454,348.00","536.59","United States","NASDAQ","USD","1.00","USD","-","0.64","0.64"
"TTMI","TTM TECHNOLOGIES INC","EQUITY","Information Technology","Equity","770,163,430.12","770,163,430.12","3,558,323.00","216.44","United States","NASDAQ","USD","1.00","USD","-","0.63","0.63"
"SNX","TD SYNNEX CORP","EQUITY","Information Technology","Equity","728,959,343.92","728,959,343.92","2,561,707.00","284.56","United States","NYSE","USD","1.00","USD","-","0.59","0.59"
"BURL","BURLINGTON STORES INC","EQUITY","Consumer Discretionary","Equity","725,397,753.25","725,397,753.25","2,152,835.00","336.95","United States","NYSE","USD","1.00","USD","-","0.59","0.59"
"LSCC","LATTICE SEMICONDUCTOR CORP","EQUITY","Information Technology","Equity","721,617,019.20","721,617,019.20","4,694,360.00","153.72","United States","NASDAQ","USD","1.00","USD","-","0.59","0.59"
"RBA","RB GLOBAL INC","EQUITY","Industrials","Equity","705,797,168.77","705,797,168.77","6,383,261.00","110.57","Canada","NYSE","USD","1.00","USD","-","0.58","0.57"
"FN","FABRINET","EQUITY","Information Technology","Equity","704,375,890.24","704,375,890.24","1,227,649.00","573.76","United States","NYSE","USD","1.00","USD","-","0.57","0.57"
"USFD","US FOODS HOLDING CORP","EQUITY","Consumer Staples","Equity","693,513,338.70","693,513,338.70","7,545,570.00","91.91","United States","NYSE","USD","1.00","USD","-","0.57","0.56"
"RS","RELIANCE STEEL & ALUMINUM","EQUITY","Materials","Equity","693,230,367.20","693,230,367.20","1,749,080.00","396.34","United States","NYSE","USD","1.00","USD","-","0.57","0.56"
"RBC","RBC BEARINGS INC","EQUITY","Industrials","Equity","690,841,084.32","690,841,084.32","1,080,824.00","639.18","United States","NYSE","USD","1.00","USD","-","0.56","0.56"
"TLN","TALEN ENERGY CORP","EQUITY","Utilities","Equity","678,597,176.49","678,597,176.49","1,555,381.00","436.29","United States","NASDAQ","USD","1.00","USD","-","0.55","0.55"
"OKTA","OKTA INC CLASS A","EQUITY","Information Technology","Equity","676,777,334.31","676,777,334.31","5,744,651.00","117.81","United States","NASDAQ","USD","1.00","USD","-","0.55","0.55"
"BWXT","BWX TECHNOLOGIES INC","EQUITY","Industrials","Equity","644,773,604.80","644,773,604.80","3,139,112.00","205.40","United States","NYSE","USD","1.00","USD","-","0.53","0.53"
"NXT","NEXTPOWER INC CLASS A","EQUITY","Industrials","Equity","640,488,552.00","640,488,552.00","5,087,280.00","125.90","United States","NASDAQ","USD","1.00","USD","-","0.52","0.52"
"CDE","COEUR MINING INC","EQUITY","Materials","Equity","620,663,522.32","620,663,522.32","35,446,232.00","17.51","United States","NYSE","USD","1.00","USD","-","0.51","0.51"
"ROKU","ROKU INC CLASS A","EQUITY","Communication","Equity","620,636,800.16","620,636,800.16","4,495,088.00","138.07","United States","NASDAQ","USD","1.00","USD","-","0.51","0.51"
"WCC","WESCO INTERNATIONAL INC","EQUITY","Industrials","Equity","609,734,324.24","609,734,324.24","1,668,859.00","365.36","United States","NYSE","USD","1.00","USD","-","0.50","0.50"
"ITT","ITT INC","EQUITY","Industrials","Equity","602,875,673.97","602,875,673.97","3,063,237.00","196.81","United States","NYSE","USD","1.00","USD","-","0.49","0.49"
"RGLD","ROYAL GOLD INC","EQUITY","Materials","Equity","599,680,126.54","599,680,126.54","2,791,547.00","214.82","United States","NASDAQ","USD","1.00","USD","-","0.49","0.49"
"EWBC","EAST WEST BANCORP INC","EQUITY","Financials","Equity","595,242,208.89","595,242,208.89","4,693,969.00","126.81","United States","NASDAQ","USD","1.00","USD","-","0.49","0.48"
"ONTO","ONTO INNOVATION INC","EQUITY","Information Technology","Equity","568,890,248.64","568,890,248.64","1,704,489.00","333.76","United States","NYSE","USD","1.00","USD","-","0.46","0.46"
"APG","API GROUP CORP","EQUITY","Industrials","Equity","562,007,425.80","562,007,425.80","13,211,270.00","42.54","United States","NYSE","USD","1.00","USD","-","0.46","0.46"
"PFGC","PERFORMANCE FOOD GROUP","EQUITY","Consumer Staples","Equity","557,729,158.14","557,729,158.14","5,382,447.00","103.62","United States","NYSE","USD","1.00","USD","-","0.46","0.45"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","EQUITY","Financials","Equity","557,639,951.47","557,639,951.47","25,107,607.00","22.21","United States","NYSE","USD","1.00","USD","-","0.46","0.45"
"SITM","SITIME CORP","EQUITY","Information Technology","Equity","553,867,726.88","553,867,726.88","759,722.00","729.04","United States","NASDAQ","USD","1.00","USD","-","0.45","0.45"
"NBIX","NEUROCRINE BIOSCIENCES INC","EQUITY","Health Care","Equity","545,344,981.83","545,344,981.83","3,445,227.00","158.29","United States","NASDAQ","USD","1.00","USD","-","0.44","0.44"
