iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"FORM","FORMFACTOR INC","EQUITY","Information Technology","Equity","703,025,277.90","703,025,277.90","4,700,938.00","149.55","United States","NASDAQ","USD","1.00","USD","-","0.66","0.65"
"USD","USD CASH","CASH","Cash and/or Derivatives","Cash","644,988,584.06","644,988,584.06","-1,350,097,893.00","100.00","United States","-","USD","1.00","USD","-","0.60","0.60"
"ESI","ELEMENT SOLUTIONS INC","EQUITY","Materials","Equity","634,620,355.06","634,620,355.06","13,805,098.00","45.97","United States","NYSE","USD","1.00","USD","-","0.59","0.59"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","EQUITY","Health Care","Equity","631,559,593.75","631,559,593.75","9,532,975.00","66.25","United States","NASDAQ","USD","1.00","USD","-","0.59","0.59"
"AGX","ARGAN INC","EQUITY","Industrials","Equity","621,813,943.45","621,813,943.45","841,597.00","738.85","United States","NYSE","USD","1.00","USD","-","0.58","0.58"
"MOH","MOLINA HEALTHCARE INC","EQUITY","Health Care","Equity","613,488,956.43","613,488,956.43","3,140,139.00","195.37","United States","NYSE","USD","1.00","USD","-","0.57","0.57"
"SNEX","STONEX GROUP INC","EQUITY","Financials","Equity","591,262,075.78","591,262,075.78","4,253,378.00","139.01","United States","NASDAQ","USD","1.00","USD","-","0.55","0.55"
"KRYS","KRYSTAL BIOTECH INC","EQUITY","Health Care","Equity","550,692,178.56","550,692,178.56","1,582,176.00","348.06","United States","NASDAQ","USD","1.00","USD","-","0.51","0.51"
"ESE","ESCO TECHNOLOGIES INC","EQUITY","Industrials","Equity","536,374,219.50","536,374,219.50","1,561,497.00","343.50","United States","NYSE","USD","1.00","USD","-","0.50","0.50"
"VSAT","VIASAT INC","EQUITY","Information Technology","Equity","525,027,243.73","525,027,243.73","8,186,921.00","64.13","United States","NASDAQ","USD","1.00","USD","-","0.49","0.49"
"POWL","POWELL INDUSTRIES INC","EQUITY","Industrials","Equity","508,945,489.60","508,945,489.60","1,712,468.00","297.20","United States","NASDAQ","USD","1.00","USD","-","0.48","0.47"
"EMN","EASTMAN CHEMICAL","EQUITY","Materials","Equity","499,691,764.99","499,691,764.99","6,893,251.00","72.49","United States","NYSE","USD","1.00","USD","-","0.47","0.47"
"MTCH","MATCH GROUP INC","EQUITY","Communication","Equity","498,413,422.65","498,413,422.65","14,059,617.00","35.45","United States","NASDAQ","USD","1.00","USD","-","0.47","0.46"
"VSH","VISHAY INTERTECHNOLOGY INC","EQUITY","Information Technology","Equity","485,316,618.60","485,316,618.60","7,477,914.00","64.90","United States","NYSE","USD","1.00","USD","-","0.45","0.45"
"ECG","EVERUS CONSTRUCTION GROUP INC","EQUITY","Industrials","Equity","485,161,853.61","485,161,853.61","3,076,291.00","157.71","United States","NYSE","USD","1.00","USD","-","0.45","0.45"
"NPO","ENPRO INC","EQUITY","Industrials","Equity","483,674,100.00","483,674,100.00","1,274,000.00","379.65","United States","NYSE","USD","1.00","USD","-","0.45","0.45"
"PLXS","PLEXUS CORP","EQUITY","Information Technology","Equity","483,641,930.97","483,641,930.97","1,612,301.00","299.97","United States","NASDAQ","USD","1.00","USD","-","0.45","0.45"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","EQUITY","Real Estate","Equity","476,014,407.65","476,014,407.65","3,803,551.00","125.15","United States","NYSE","USD","1.00","USD","-","0.45","0.44"
"QRVO","QORVO INC","EQUITY","Information Technology","Equity","475,279,726.74","475,279,726.74","4,829,097.00","98.42","United States","NASDAQ","USD","1.00","USD","-","0.44","0.44"
"GKOS","GLAUKOS CORP","EQUITY","Health Care","Equity","462,545,127.00","462,545,127.00","3,539,525.00","130.68","United States","NYSE","USD","1.00","USD","-","0.43","0.43"
"RAL","RALLIANT CORP","EQUITY","Information Technology","Equity","459,865,850.22","459,865,850.22","6,744,879.00","68.18","United States","NYSE","USD","1.00","USD","-","0.43","0.43"
