iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","66,485,993,542.11","7.90","66,485,993,542.11","315,563,119.00","210.69","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","57,026,543,044.17","6.78","57,026,543,044.17","191,357,817.00","298.01","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","36,719,548,356.40","4.37","36,719,548,356.40","96,783,206.00","379.40","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","31,169,011,575.61","3.71","31,169,011,575.61","127,537,999.00","244.39","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","28,116,117,775.98","3.34","28,116,117,775.98","76,396,266.00","368.03","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","25,374,857,364.35","3.02","25,374,857,364.35","61,686,781.00","411.35","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","22,627,855,718.54","2.69","22,627,855,718.54","61,579,099.00","367.46","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","16,662,345,568.44","1.98","16,662,345,568.44","14,693,556.00","1,133.99","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","16,515,286,456.62","1.96","16,515,286,456.62","28,611,771.00","577.22","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,689,903,514.74","1.75","14,689,903,514.74","36,679,826.00","400.49","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,691,226,386.74","1.39","11,691,226,386.74","23,885,969.00","489.46","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","11,416,266,051.11","1.36","11,416,266,051.11","21,244,703.00","537.37","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","11,353,661,756.64","1.35","11,353,661,756.64","34,910,712.00","325.22","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,322,486,407.76","1.35","11,322,486,407.76","10,306,568.00","1,098.57","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","8,247,555,876.82","0.98","8,247,555,876.82","61,553,518.00","133.99","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,442,213,652.97","0.88","7,442,213,652.97","54,003,437.00","137.81","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","7,162,995,570.00","0.85","7,162,995,570.00","31,363,000.00","228.39","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,076,225,979.36","0.84","7,076,225,979.36","21,623,964.00","327.24","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,693,155,907.48","0.80","6,693,155,907.48","57,118,586.00","117.18","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","6,380,743,374.98","0.76","6,380,743,374.98","10,339,718.00","617.11","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","6,338,776,555.20","0.75","6,338,776,555.20","16,293,380.00","389.04","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","6,151,786,606.40","0.73","6,151,786,606.40","51,462,160.00","119.54","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","5,915,866,387.20","0.70","5,915,866,387.20","6,000,960.00","985.82","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,499,621,716.85","0.65","5,499,621,716.85","5,780,253.00","951.45","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,148,939,415.55","0.61","5,148,939,415.55","10,512,545.00","489.79","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","4,983,404,959.00","0.59","4,983,404,959.00","23,019,100.00","216.49","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","4,861,519,971.76","0.58","4,861,519,971.76","13,593,334.00","357.64","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,780,535,542.00","0.57","4,780,535,542.00","85,062,910.00","56.20","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,744,154,309.44","0.56","4,744,154,309.44","11,831,989.00","400.96","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,562,423,633.24","0.54","4,562,423,633.24","30,339,298.00","150.38","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","4,417,494,726.96","0.53","4,417,494,726.96","17,019,166.00","259.56","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,337,951,560.00","0.52","4,337,951,560.00","12,977,000.00","334.28","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","4,245,180,393.84","0.50","4,245,180,393.84","54,861,468.00","77.38","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","4,235,031,554.64","0.50","4,235,031,554.64","24,391,128.00","173.63","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","4,215,300,345.00","0.50","4,215,300,345.00","1,929,420.00","2,184.75","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","4,214,661,256.80","0.50","4,214,661,256.80","3,843,530.00","1,096.56","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,074,287,558.67","0.48","4,074,287,558.67","22,108,023.00","184.29","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","4,005,254,874.30","0.48","4,005,254,874.30","50,450,370.00","79.39","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","3,885,240,191.64","0.46","3,885,240,191.64","3,501,068.00","1,109.73","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","3,843,174,782.73","0.46","3,843,174,782.73","29,914,959.00","128.47","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,828,270,801.06","0.46","3,828,270,801.06","11,857,371.00","322.86","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,664,193,465.41","0.44","3,664,193,465.41","32,178,743.00","113.87","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,622,603,958.40","0.43","3,622,603,958.40","20,306,076.00","178.40","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","3,542,899,111.12","0.42","3,542,899,111.12","11,407,364.00","310.58","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,485,481,111.18","0.41","3,485,481,111.18","15,618,054.00","223.17","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","3,351,127,895.12","0.40","3,351,127,895.12","4,490,744.00","746.23","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,277,350,661.20","0.39","3,277,350,661.20","39,870,446.00","82.20","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,256,465,216.00","0.39","3,256,465,216.00","17,545,610.00","185.60","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","3,179,007,360.82","0.38","3,179,007,360.82","22,221,497.00","143.06","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","3,126,563,500.62","0.37","3,126,563,500.62","2,921,394.00","1,070.23","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","3,105,016,910.19","0.37","3,105,016,910.19","13,732,329.00","226.11","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","3,085,101,461.60","0.37","3,085,101,461.60","6,023,824.00","512.15","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,050,353,053.60","0.36","3,050,353,053.60","12,245,496.00","249.10","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","3,040,763,482.84","0.36","3,040,763,482.84","10,566,278.00","287.78","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2,763,471,894.30","0.33","2,763,471,894.30","6,360,705.00","434.46","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,628,016,300.04","0.31","2,628,016,300.04","16,028,399.00","163.96","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,579,093,605.83","0.31","2,579,093,605.83","9,257,003.00","278.61","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,528,983,514.70","0.30","2,528,983,514.70","17,807,235.00","142.02","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,468,231,942.67","0.29","2,468,231,942.67","54,402,291.00","45.37","United States","NYSE","USD","1.00","USD","-"
